ObjektId,Timestamp_Month,Timestamp_Day,Timestamp_Hour,Temp_inside,Temp_outside,Consumption_kWh
32125434,1,1,0,22.9,11.0,1.74
32125434,1,1,1,23.6,9.7,1.74
32125434,1,1,2,23.8,11.3,2.78
32125434,1,1,3,23.4,13.1,1.95
32125434,1,1,4,23.8,9.6,2.27
32125434,1,1,5,23.1,9.6,2.04
32125434,1,1,6,22.4,13.2,2.52
32125434,1,1,7,23.3,11.6,2.14
32125434,1,1,8,23.5,9.1,2.4
32125434,1,1,9,23.4,11.2,2.57
32125434,1,1,10,22.9,9.2,2.29
32125434,1,1,11,22.6,9.2,2.58
32125434,1,1,12,23.2,10.6,2.99
32125434,1,1,13,23.9,6.3,2.91
32125434,1,1,14,24.1,6.7,2.78
32125434,1,1,15,24.1,9.0,2.65
32125434,1,1,16,23.1,8.1,2.48
32125434,1,1,17,22.9,10.8,3.01
32125434,1,1,18,23.7,8.4,2.24
32125434,1,1,19,23.8,7.4,2.54
32125434,1,1,20,23.7,13.1,2.18
32125434,1,1,21,22.5,9.8,2.57
32125434,1,1,22,23.1,10.4,2.54
32125434,1,1,23,23.5,7.4,2.33
32125434,1,2,0,23.7,9.2,2.33
32125434,1,2,1,23.9,10.5,2.28
32125434,1,2,2,23.6,8.0,1.65
32125434,1,2,3,23.7,11.0,1.73
32125434,1,2,4,23.5,9.1,2.16
32125434,1,2,5,23.8,9.7,2.19
32125434,1,2,6,23.7,9.1,2.08
32125434,1,2,7,23.5,14.0,2.47
32125434,1,2,8,23.4,10.3,2.48
32125434,1,2,9,23.5,8.2,2.57
32125434,1,2,10,23.7,12.0,2.1
32125434,1,2,11,23.6,7.9,2.68
32125434,1,2,12,23.7,10.8,1.77
32125434,1,2,13,24.2,6.5,2.72
32125434,1,2,14,23.6,7.8,2.7
32125434,1,2,15,23.2,10.8,2.57
32125434,1,2,16,23.9,11.9,1.94
32125434,1,2,17,22.8,10.8,2.48
32125434,1,2,18,23.0,10.2,2.08
32125434,1,2,19,23.7,9.9,2.11
32125434,1,2,20,23.8,7.5,2.64
32125434,1,2,21,22.9,9.0,2.91
32125434,1,2,22,23.3,9.6,2.26
32125434,1,2,23,23.2,12.6,1.83
32125434,1,3,0,23.3,11.2,2.2
32125434,1,3,1,24.0,7.0,2.64
32125434,1,3,2,23.9,11.2,2.35
32125434,1,3,3,23.5,9.8,3.09
32125434,1,3,4,23.2,9.2,2.13
32125434,1,3,5,22.8,11.8,2.33
32125434,1,3,6,24.2,12.6,2.73
32125434,1,3,7,23.8,12.5,2.77
32125434,1,3,8,23.1,8.9,1.97
32125434,1,3,9,23.9,10.0,2.54
32125434,1,3,10,23.5,11.3,2.95
32125434,1,3,11,23.4,12.6,3.33
32125434,1,3,12,23.7,9.7,2.83
32125434,1,3,13,23.1,10.3,2.47
32125434,1,3,14,23.3,8.5,2.35
32125434,1,3,15,23.6,8.3,3.29
32125434,1,3,16,23.2,12.3,2.6
32125434,1,3,17,23.8,13.4,2.03
32125434,1,3,18,24.4,10.6,2.31
32125434,1,3,19,23.1,12.7,2.31
32125434,1,3,20,22.7,11.5,2.39
32125434,1,3,21,22.5,9.4,2.02
32125434,1,3,22,23.4,11.5,1.97
32125434,1,3,23,23.2,13.8,1.52
32125434,1,4,0,23.6,10.7,2.48
32125434,1,4,1,23.6,13.9,1.91
32125434,1,4,2,22.7,5.6,2.59
32125434,1,4,3,22.6,12.4,2.56
32125434,1,4,4,23.6,11.0,2.32
